Time,THCP,THCP01,THCP02,THCP03,THCP04,THCP05,THCP06,THCP07,THCP08,THCP09,THCP10,THCP11,THCP12,THCP13,THCP14,THCP15,THCP16,THCP17,GAS,GAS01,GAS02,GAS03,GAS04,GAS05,GAS06,GAS07,GAS08,GAS09,GAS10,GAS11,GAS12,GAS13,GAS14,GAS15,GAS16,GAS17,GAS18,GAS19,GAS20,GAS21,GAS22,GAS23,GAS24,GAS25,GAS26,GAS27,GAS28,GAS29,GAS30,GAS31,GAS32,GAS33,GAS34,GAS35,GAS36,GAS37,GAS38,GAS39,GAS40,GAS41,GAS42,Average_of_temperature
0.0,19.999997,19.999997,19.999996,19.999997,19.999997,19.999997,19.999996,19.999997,19.999997,19.999997,19.999997,19.999997,19.999996,19.999996,19.999996,19.999997,19.999997,19.999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
0.4225194,19.999985,19.99999,19.999993,19.999973,19.999981,19.999987,19.99996,19.999982,19.99999,19.999951,19.99997,19.999982,19.999807,19.999955,19.999985,19.999906,19.99995,19.999973,-2.8102808e-05,-1.5005662e-05,-7.9630898e-06,-5.7406283e-05,-3.9123745e-05,-2.2848341e-05,-8.9203086e-05,-3.5201174e-05,-1.487332e-05,-0.00011183285,-6.5126201e-05,-3.5806068e-05,-0.0004631328,-0.00010231966,-2.8966575e-05,-0.00022132467,-0.00011369721,-5.7788714e-05,20.000001,20.000001,19.999996,20.0,20.000001,19.999995,19.999995,19.999997,19.999995,20.000004,19.999999,19.999999,20.000001,19.999998,19.999994,19.999995,19.999995,19.999997,19.999994,19.999999,19.999996,19.999996,19.999995,20.000002,19.999997,19.999997680000003
0.63377911,19.999971,19.999981,19.999989,19.999935,19.999956,19.999978,19.999914,19.999963,19.999983,19.999879,19.999932,19.999967,19.999567,19.999904,19.999972,19.999771,19.99989,19.999949,-3.6933724e-05,-2.5879835e-05,-1.2575731e-05,-0.00011230824,-7.3016639e-05,-2.6555424e-05,-0.00012674162,-5.7296416e-05,-1.9453057e-05,-0.00020916988,-0.00010596289,-3.8469409e-05,-0.00066260578,-0.00013531654,-3.1821866e-05,-0.00038980595,-0.00016495776,-6.0304553e-05,20.000003,20.000003,19.999985,19.999998,20.000003,19.999981,19.999981,19.999989,19.999979,20.000017,19.999995,19.999995,20.000004,19.999994,19.999978,19.999979,19.999979,19.999988,19.999977,19.999997,19.999985,19.999985,19.99998,20.000007,19.999988,19.999990799999996
1.0562985,19.999957,19.999969,19.999985,19.99989,19.999927,19.999968,19.999864,19.999944,19.999975,19.999796,19.99989,19.999953,20.039513,20.060114,19.999958,19.999616,19.999825,19.999926,-3.6933724e-05,-2.5879835e-05,-1.2575731e-05,-0.00011230824,-7.3016639e-05,-2.6555424e-05,-0.00012674162,-5.7296416e-05,-1.9453057e-05,-0.00020916988,-0.00010596289,-3.8469409e-05,-0.00066260578,-0.00013531654,-3.1821866e-05,-0.00038980595,-0.00016495776,-6.0304553e-05,19.999998,19.999998,19.99997,19.999994,20.000004,19.999959,19.999959,19.999975,19.99996,20.000028,19.99998,19.99998,20.0,19.999985,19.999959,19.999951,19.999951,19.99997,19.999955,19.999992,19.999962,19.999962,19.999957,20.000007,19.999977,19.99997732
1.2675582,19.999936,19.999958,19.999981,19.999836,19.999899,19.999959,19.999805,19.999939,19.999967,19.999693,19.99985,19.999939,20.1321,20.188197,19.99995,19.999423,19.999764,19.999902,-5.9711604e-05,-2.1447591e-05,-1.0602057e-05,-0.00014921944,-7.096955e-05,-2.7186385e-05,-0.00018378594,-3.4330195e-05,-1.7680724e-05,-0.00028423788,-0.00010086306,-3.9398755e-05,-0.0008288791,3.4257981e-05,-1.2804227e-05,-0.0005406828,-0.00015816492,-6.098339e-05,19.999992,19.999992,19.999954,19.999989,20.000005,19.999937,19.999937,19.99996,19.999941,20.000037,19.999965,19.999965,19.999996,19.999976,19.99994,19.999923,19.999923,19.999953,19.999934,19.999987,19.999939,19.999939,19.999934,20.000008,19.999967,19.99996372
1.6900776,19.999913,19.999948,19.999978,19.999779,19.999873,19.99995,19.999767,19.999975,19.999959,19.999583,19.999811,19.999925,20.297782,20.405417,19.999944,19.999214,19.999704,19.99988,-5.9711604e-05,-2.1447591e-05,-1.0602057e-05,-0.00014921944,-7.096955e-05,-2.7186385e-05,-0.00018378594,-3.4330195e-05,-1.7680724e-05,-0.00028423788,-0.00010086306,-3.9398755e-05,-0.0008288791,3.4257981e-05,-1.2804227e-05,-0.0005406828,-0.00015816492,-6.098339e-05,19.999986,19.999986,19.999939,19.999984,20.000006,19.999915,19.999915,19.999946,19.999923,20.000046,19.99995,19.99995,19.999991,19.999967,19.999921,19.999895,19.999895,19.999935,19.999912,19.999982,19.999916,19.999916,19.999912,20.000007,19.999957,19.999950079999998
1.9013373,19.999895,19.999943,19.999975,19.999723,19.999847,19.999941,19.999819,20.000118,19.999957,19.999474,19.999773,19.999912,20.522044,20.695489,19.999948,19.999006,19.999645,19.999848,-4.5228548e-05,1.161068e-06,-9.8086494e-06,-0.00014641834,-6.9872652e-05,-2.7157873e-05,-0.00014965909,4.291509e-05,3.0774319e-06,-0.00028542576,-9.7019985e-05,-3.7871365e-05,-0.00067702706,0.00038810173,2.0356579e-05,-0.00055624835,-0.0001595446,-9.6232265e-05,19.999979,19.999979,19.999924,19.999979,20.000006,19.999893,19.999893,19.999931,19.999905,20.000053,19.999935,19.999935,19.999986,19.999958,19.999902,19.999867,19.999867,19.999917,19.999891,19.999977,19.999893,19.999893,19.999889,20.000005,19.999946,19.999936119999997
2.112597,19.999884,19.999942,19.999974,19.999686,19.99983,19.999936,19.999998,20.000355,19.999958,19.999403,19.999749,19.999904,20.71618,20.935928,19.999953,19.998868,19.999606,19.999824,-4.5228548e-05,1.161068e-06,-9.8086494e-06,-0.00014641834,-6.9872652e-05,-2.7157873e-05,-0.00014965909,4.291509e-05,3.0774319e-06,-0.00028542576,-9.7019985e-05,-3.7871365e-05,-0.00067702706,0.00038810173,2.0356579e-05,-0.00055624835,-0.0001595446,-9.6232265e-05,19.999975,19.999975,19.999914,19.999975,20.000006,19.999879,19.999879,19.999922,19.999893,20.000057,19.999925,19.999925,19.999982,19.999951,19.999888,19.999848,19.999848,19.999905,19.999876,19.999973,19.999877,19.999877,19.999874,20.000004,19.999939,19.999926679999998
2.5351164,19.999873,19.999943,19.999974,19.999634,19.999806,19.999927,20.00186,20.001297,19.999964,19.999299,19.999712,19.999889,21.071712,21.363126,19.999966,19.998666,19.999543,19.999781,-2.6505636e-05,1.27689e-05,-1.961593e-06,-0.00014535988,-7.026396e-05,-3.0865534e-05,-8.0089499e-05,0.00010018,2.2412501e-05,-0.00028089678,-0.00010053722,-5.1051433e-05,-0.0004724441,0.00061212536,3.8662862e-05,-0.00055523283,-0.00018329735,-0.00012447244,19.999967,19.999967,19.9999,19.999969,20.000007,19.999857,19.999857,19.999907,19.999875,20.000063,19.999909,19.999909,19.999976,19.99994,19.999867,19.999821,19.999821,19.999887,19.999855,19.999966,19.999854,19.999854,19.999851,20.000001,19.999928,19.999912320000004
2.7463761,19.999874,19.99995,19.999978,19.999582,19.999782,19.999916,20.007813,20.003959,19.999981,19.9992,19.999674,19.999867,21.503049,21.853397,19.99999,19.998468,19.999467,19.999723,-7.7827229e-06,2.4376732e-05,5.8854633e-06,-0.00014430141,-7.0655268e-05,-3.4573195e-05,-1.0519911e-05,0.00015744492,4.174757e-05,-0.00027636781,-0.00010405445,-6.4231501e-05,-0.00026786115,0.00083614899,5.6969144e-05,-0.00055421731,-0.0002070501,-0.00015271262,19.99996,19.99996,19.999885,19.999962,20.000006,19.999836,19.999836,19.999892,19.999856,20.000065,19.999894,19.999894,19.999969,19.999927,19.999842,19.999792,19.999792,19.999867,19.999829,19.999955,19.999826,19.999826,19.999823,19.999993,19.999911,19.99989592
